temperatureTimestamp,temperature,pressureTimestamp,pressure,humid_timestamp,humidity
1261984,31.62,1261984,100440,1261988,0
1281984,31.62,1281984,100441,1281992,0
1301984,31.62,1301984,100440,1301992,0
1321984,31.62,1321984,100440,1321992,0
1342036,31.62,1342036,100440,1342040,0
1361984,31.62,1361984,100440,1361988,0
1381984,31.62,1381984,100440,1381992,0
1401984,31.63,1401984,100441,1401992,0
1421984,31.63,1421984,100440,1421992,0
1442016,31.63,1442016,100440,1442020,0
1461984,31.63,1461984,100440,1461992,0
1481988,31.63,1481988,100440,1481996,0
1501988,31.63,1501988,100440,1501992,0
1521988,31.63,1521988,100440,1521992,0
1542016,31.63,1542016,100440,1542020,0
1561992,31.63,1561992,100440,1561996,0
1581988,31.63,1581988,100440,1581992,0
1601992,31.63,1601992,100440,1601996,0
1621988,31.63,1621988,100440,1621992,0
1642016,31.63,1642016,100440,1642024,0
1661988,31.63,1661988,100440,1661992,0
1681988,31.63,1681988,100440,1681992,0
1701988,31.63,1701988,100440,1701992,0
1721992,31.63,1721992,100440,1721996,0
1742016,31.63,1742016,100440,1742020,0
1761988,31.64,1761988,100441,1761992,0
1781988,31.64,1781988,100441,1781992,0
1801992,31.64,1801992,100440,1801996,0
1821992,31.64,1821992,100440,1821996,0
1842016,31.64,1842016,100440,1842024,0
1861988,31.64,1861988,100441,1861992,0
1881988,31.64,1881988,100440,1881992,0
1901988,31.64,1901988,100440,1901992,0
1921988,31.64,1921988,100440,1921992,0
1942020,31.64,1942020,100440,1942024,0
1961988,31.64,1961988,100440,1961992,0
1981988,31.64,1981988,100440,1981996,0
2001996,31.64,2001996,100440,2002004,0
2021988,31.64,2021988,100440,2021992,0
2042020,31.64,2042020,100440,2042024,0
2061988,31.64,2061988,100440,2061992,0
2081988,31.64,2081988,100440,2081996,0
2101988,31.65,2101988,100441,2101996,0
2122000,31.65,2122000,100440,2122008,0
2142028,31.65,2142028,100440,2142032,0
2161992,31.65,2161996,100440,2162000,0
2181992,31.65,2181992,100441,2181996,0
2201996,31.65,2201996,100440,2202004,0
2221992,31.65,2221992,100440,2221996,0
2242024,31.65,2242024,100440,2242032,0
2261992,31.65,2261992,100440,2261996,0
2281992,31.65,2281992,100440,2281996,0
2302000,31.65,2302000,100440,2302004,0
2321992,31.65,2321992,100440,2322000,0
2342020,31.65,2342020,100440,2342028,0
2361992,31.65,2361992,100439,2362000,0
2381992,31.66,2381992,100440,2381996,0
2402000,31.66,2402000,100440,2402004,0
2421992,31.66,2421992,100439,2421996,0
2442020,31.66,2442020,100439,2442028,0
2461992,31.66,2461992,100439,2461996,0
2481992,31.66,2481992,100439,2481996,0
2502004,31.66,2502004,100439,2502016,0
2521992,31.66,2521992,100439,2521996,0
2542024,31.66,2542024,100439,2542028,0
2561992,31.66,2561992,100439,2561996,0
2582000,31.66,2582000,100439,2582004,0
2602008,31.66,2602008,100439,2602016,0
2621992,31.66,2621992,100439,2621996,0
2642024,31.66,2642024,100438,2642028,0
2661992,31.66,2661992,100439,2662000,0
2681992,31.66,2681992,100439,2681996,0
2702000,31.66,2702000,100439,2702004,0
2721992,31.66,2721992,100439,2722000,0
2741992,31.66,2741992,100439,2742000,0
2761992,31.67,2761992,100439,2762000,0
2781992,31.67,2781992,100439,2782000,0
2801992,31.67,2801992,100439,2802000,0
2821992,31.67,2821992,100439,2822000,0
2842024,31.67,2842024,100439,2842028,0
2861996,31.67,2861996,100439,2862000,0
2881996,31.67,2881996,100439,2882000,0
2902000,31.67,2902000,100439,2902004,0
2921996,31.67,2921996,100439,2922000,0
2942024,31.67,2942024,100439,2942028,0
2961996,31.67,2961996,100439,2962000,0
2982000,31.68,2982000,100439,2982008,0
3001996,31.68,3001996,100439,3002000,0
3021996,31.68,3021996,100439,3022000,0
3042024,31.68,3042024,100439,3042032,0
3061996,31.68,3061996,100438,3062000,0
3081996,31.68,3081996,100439,3082000,0
3102004,31.68,3102004,100438,3102008,0
3121996,31.68,3121996,100438,3122000,0
3142032,31.68,3142032,100439,3142036,0
3161996,31.68,3161996,100438,3162000,0
3181996,31.68,3181996,100438,3182000,0
3202000,31.68,3202000,100439,3202008,0
3221996,31.68,3221996,100439,3222000,0
3242032,31.68,3242032,100439,3242036,0
3261996,31.68,3261996,100439,3262000,0
3281996,31.69,3281996,100439,3282004,0
3302000,31.69,3302000,100439,3302004,0
3321996,31.69,3321996,100439,3322004,0
3342028,31.69,3342028,100439,3342032,0
3361996,31.69,3361996,100439,3362004,0
3381996,31.69,3381996,100439,3382004,0
3402000,31.69,3402000,100439,3402004,0
3422000,31.69,3422000,100439,3422008,0
3442028,31.69,3442028,100439,3442032,0
3462000,31.69,3462000,100439,3462004,0
3482000,31.69,3482000,100439,3482004,0
3502004,31.69,3502004,100439,3502008,0
3521996,31.69,3521996,100439,3522004,0
3542028,31.69,3542028,100440,3542032,0
3562000,31.69,3562000,100440,3562004,0
3582004,31.69,3582004,100440,3582008,0
3602008,31.69,3602008,100440,3602012,0
3622000,31.7,3622000,100440,3622004,0
3642028,31.7,3642028,100440,3642036,0
3662000,31.7,3662000,100440,3662004,0
3682000,31.7,3682000,100440,3682004,0
3702004,31.7,3702004,100440,3702008,0
3722000,31.7,3722000,100440,3722004,0
3742028,31.7,3742032,100440,3742036,0
3762000,31.7,3762000,100440,3762004,0
3782000,31.7,3782000,100440,3782004,0
3802000,31.7,3802000,100440,3802004,0
3822000,31.7,3822000,100439,3822004,0
3842032,31.7,3842032,100439,3842036,0
3862000,31.7,3862000,100440,3862004,0
3882000,31.7,3882000,100439,3882004,0
3902000,31.7,3902000,100439,3902004,0
