gpsTimestamp,latitude,longitude,height,velocityNorth,velocityEast,velocityDown,speed,track,positionDOP,satellites,fix
1293372,45.4994,9.15136,543.893,0,0,0,0,0,99.99,0,0
1394988,45.4994,9.15142,541.081,0,0,0,0,0,99.99,0,0
1493868,45.4994,9.15144,542.345,0,0,0,0,0,99.99,0,0
1602928,45.4994,9.15144,546.635,0,0,0,0,0,99.99,0,0
1700244,45.4994,9.15145,550.84,0,0,0,0,0,99.99,0,0
1814984,45.4994,9.15146,552.229,0,0,0,0,0,99.99,0,0
1893588,45.4994,9.15145,553.306,0,0,0,0,0,99.99,0,0
2002932,45.4994,9.15147,556.46,0,0,0,0,0,99.99,0,0
2099804,45.4994,9.15147,557.372,0,0,0,0,0,99.99,0,0
2202944,45.4994,9.15147,550.266,0,0,0,0,0,99.99,0,0
2303896,45.4994,9.15146,556.331,0,0,0,0,0,99.99,0,0
2409712,45.4994,9.15146,552.88,0,0,0,0,0,99.99,0,0
2504248,45.4994,9.15144,549.185,0,0,0,0,0,99.99,0,0
2603520,45.4994,9.15143,545.288,0,0,0,0,0,99.99,0,0
2702936,45.4994,9.15144,543.562,0,0,0,0,0,99.99,0,0
2809640,45.4994,9.15146,539.918,0,0,0,0,0,99.99,0,0
2904260,45.4994,9.15141,534.8,0,0,0,0,0,99.99,0,0
3000996,45.4994,9.15143,542.977,0,0,0,0,0,99.99,0,0
3098272,45.4994,9.15145,544.628,0,0,0,0,0,99.99,0,0
3204256,45.4994,9.15147,547.431,0,0,0,0,0,99.99,0,0
3298868,45.4994,9.15148,549.545,0,0,0,0,0,99.99,0,0
3401120,45.4994,9.15148,555.696,0,0,0,0,0,99.99,0,0
3502904,45.4994,9.15145,559.382,0,0,0,0,0,99.99,0,0
3604824,45.4994,9.15144,551.37,0,0,0,0,0,99.99,0,0
3705000,45.4994,9.15145,554.594,0,0,0,0,0,99.99,0,0
3821004,45.4995,9.15421,832.627,0.646,1.4,9.463,1.542,0,86.81,4,3
3889008,45.4995,9.15421,832.508,1.37,1.592,4.474,2.101,0,86.83,4,3
3990256,45.4995,9.15428,815.33,-0.633,0.523,2.526,0.821,0,86.86,4,3
