timestamp,logNumber,tooLargeSamples,droppedSamples,queuedSamples,buffersFilled,buffersWritten,writesFailed,lastWriteError,averageWriteTime,maxWriteTime
1024428,6,0,0,0,0,0,0,0,0,0
3027604,6,0,0,1181,1,1,0,0,85,85
4027596,6,0,0,1807,2,2,0,0,96,96
5027624,6,0,0,2433,4,3,0,0,98,98
6027624,6,0,0,3059,5,4,0,0,104,104
7027636,6,0,0,3685,6,5,0,0,86,104
8027636,6,0,0,4311,7,6,0,0,83,104
9027628,6,0,0,4937,8,8,0,0,89,104
10027660,6,0,0,5563,9,9,0,0,80,104
11027652,6,0,0,6189,10,10,0,0,77,104
12027660,6,0,0,6815,11,11,0,0,82,104
13027652,6,0,0,7441,12,12,0,0,81,104
14027672,6,0,0,8067,13,13,0,0,77,104
15027676,6,0,0,8693,14,14,0,0,74,104
16027668,6,0,0,9319,15,15,0,0,76,104
17027688,6,0,0,9945,16,16,0,0,78,104
18027680,6,0,0,10571,17,17,0,0,71,104
19027688,6,0,0,11197,18,18,0,0,75,104
20028072,6,0,0,11823,19,19,0,0,73,104
21028072,6,0,0,12449,20,20,0,0,75,104
22027704,6,0,0,13075,21,21,0,0,78,104
23027724,6,0,0,13701,22,22,0,0,75,104
24027732,6,0,0,14327,23,23,0,0,78,104
25027720,6,0,0,14953,24,24,0,0,80,104
26027756,6,0,0,15579,25,25,0,0,78,104
27027748,6,0,0,16205,26,26,0,0,81,104
28027740,6,0,0,16831,27,27,0,0,81,104
29027744,6,0,0,17457,28,28,0,0,86,104
30027764,6,0,0,18083,29,29,0,0,77,104
31027772,6,0,0,18709,30,30,0,0,83,104
32027764,6,0,0,19335,31,31,0,0,82,104
33027768,6,0,0,19961,32,32,0,0,80,104
34027792,6,0,0,20587,33,33,0,0,94,104
35027780,6,0,0,21213,34,34,0,0,88,104
36027808,6,0,0,21839,35,35,0,0,83,104
37027732,6,0,0,22465,36,36,0,0,80,104
38027736,6,0,0,23091,37,37,0,0,78,104
39027728,6,0,0,23717,38,38,0,0,79,104
40027732,6,0,0,24343,39,39,0,0,77,104
41027740,6,0,0,24969,40,40,0,0,78,104
42027744,6,0,0,25595,41,41,0,0,100,104
43027764,6,0,0,26221,42,42,0,0,74,104
