id,period,actMin,actMax,actMean,actStddev,actNSamples,periodMin,periodMax,periodMean,period_stddev,periodNSamples,workloadMin,workloadMax,workloadMean,workload_stddev,workloadNSample,missedEvents,failedEvents
0,1000,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,0,0
100,100,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,0,0
200,62,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,0,0
202,10000,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,0,0
0,1000,0,0,0,nan,1,nan,nan,nan,nan,0,0,0,0,nan,1,0,0
100,100,0,0,0,0,10,100,100,100,0,9,0,0,0,0,10,0,0
200,62,0,0,0,0,16,62,62,62,0,15,0,0,0,0,16,0,0
202,10000,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,0,0
0,1000,0,0,0,0,2,1000,1000,1000,nan,1,0,0,0,0,2,0,0
100,100,0,0,0,0,20,100,100,100,0,19,0,0,0,0,20,0,0
200,62,0,0,0,0,32,62,62,62,0,31,0,0,0,0,32,0,0
202,10000,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,0,0
0,1000,0,0,0,0,3,1000,1000,1000,0,2,0,0,0,0,3,0,0
100,100,0,0,0,0,30,100,100,100,0,29,0,0,0,0,30,0,0
200,62,0,0,0,0,48,62,62,62,0,47,0,0,0,0,48,0,0
202,10000,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,0,0
0,1000,0,0,0,0,4,1000,1000,1000,0,3,0,0,0,0,4,0,0
100,100,0,0,0,0,40,100,100,100,0,39,0,0,0,0,40,0,0
200,62,0,0,0,0,64,62,62,62,0,63,0,0,0,0,64,0,0
202,10000,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,0,0
0,1000,0,0,0,0,5,1000,1000,1000,0,4,0,0,0,0,5,0,0
100,100,0,0,0,0,50,100,100,100,0,49,0,0,0,0,50,0,0
200,62,0,0,0,0,80,62,62,62,0,79,0,0,0,0,80,0,0
202,10000,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,0,0
0,1000,0,0,0,0,6,1000,1000,1000,0,5,0,0,0,0,6,0,0
100,100,0,0,0,0,60,100,100,100,0,59,0,0,0,0,60,0,0
200,62,0,0,0,0,96,62,62,62,0,95,0,0,0,0,96,0,0
202,10000,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,0,0
0,1000,0,0,0,0,7,1000,1000,1000,0,6,0,0,0,0,7,0,0
100,100,0,0,0,0,70,100,100,100,0,69,0,0,0,0,70,0,0
200,62,0,0,0,0,112,62,62,62,0,111,0,0,0,0,112,0,0
202,10000,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,0,0
0,1000,0,0,0,0,8,1000,1000,1000,0,7,0,0,0,0,8,0,0
100,100,0,0,0,0,80,100,100,100,0,79,0,0,0,0,80,0,0
200,62,0,0,0,0,129,62,62,62,0,128,0,0,0,0,129,0,0
202,10000,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,0,0
0,1000,0,0,0,0,9,1000,1000,1000,0,8,0,0,0,0,9,0,0
100,100,0,0,0,0,90,100,100,100,0,89,0,0,0,0,90,0,0
200,62,0,0,0,0,145,62,62,62,0,144,0,0,0,0,145,0,0
202,10000,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,0,0
0,1000,0,0,0,0,10,1000,1000,1000,0,9,0,0,0,0,10,0,0
100,100,0,0,0,0,100,100,100,100,0,99,0,0,0,0,100,0,0
200,62,0,0,0,0,161,62,62,62,0,160,0,0,0,0,161,0,0
202,10000,0,0,0,nan,1,nan,nan,nan,nan,0,0,0,0,nan,1,0,0
0,1000,0,0,0,0,11,1000,1000,1000,0,10,0,0,0,0,11,0,0
100,100,0,0,0,0,110,100,100,100,0,109,0,0,0,0,110,0,0
200,62,0,0,0,0,177,62,62,62,0,176,0,0,0,0,177,0,0
202,10000,0,0,0,nan,1,nan,nan,nan,nan,0,0,0,0,nan,1,0,0
0,1000,0,0,0,0,12,1000,1000,1000,0,11,0,0,0,0,12,0,0
100,100,0,0,0,0,120,100,100,100,0,119,0,0,0,0,120,0,0
200,62,0,0,0,0,193,62,62,62,0,192,0,0,0,0,193,0,0
202,10000,0,0,0,nan,1,nan,nan,nan,nan,0,0,0,0,nan,1,0,0
0,1000,0,0,0,0,13,1000,1000,1000,0,12,0,0,0,0,13,0,0
100,100,0,0,0,0,130,100,100,100,0,129,0,0,0,0,130,0,0
200,62,0,0,0,0,209,62,62,62,0,208,0,0,0,0,209,0,0
202,10000,0,0,0,nan,1,nan,nan,nan,nan,0,0,0,0,nan,1,0,0
0,1000,0,0,0,0,14,1000,1000,1000,0,13,0,0,0,0,14,0,0
100,100,0,0,0,0,140,100,100,100,0,139,0,0,0,0,140,0,0
200,62,0,0,0,0,225,62,62,62,0,224,0,0,0,0,225,0,0
202,10000,0,0,0,nan,1,nan,nan,nan,nan,0,0,0,0,nan,1,0,0
0,1000,0,0,0,0,15,1000,1000,1000,0,14,0,0,0,0,15,0,0
100,100,0,0,0,0,150,100,100,100,0,149,0,0,0,0,150,0,0
200,62,0,0,0,0,242,62,62,62,0,241,0,0,0,0,242,0,0
202,10000,0,0,0,nan,1,nan,nan,nan,nan,0,0,0,0,nan,1,0,0
0,1000,0,0,0,0,16,1000,1000,1000,0,15,0,0,0,0,16,0,0
100,100,0,0,0,0,160,100,100,100,0,159,0,0,0,0,160,0,0
200,62,0,0,0,0,258,62,62,62,0,257,0,0,0,0,258,0,0
202,10000,0,0,0,nan,1,nan,nan,nan,nan,0,0,0,0,nan,1,0,0
0,1000,0,0,0,0,17,1000,1000,1000,0,16,0,0,0,0,17,0,0
100,100,0,0,0,0,170,100,100,100,0,169,0,0,0,0,170,0,0
200,62,0,0,0,0,274,62,62,62,0,273,0,0,0,0,274,0,0
202,10000,0,0,0,nan,1,nan,nan,nan,nan,0,0,0,0,nan,1,0,0
0,1000,0,0,0,0,18,1000,1000,1000,0,17,0,0,0,0,18,0,0
100,100,0,0,0,0,180,100,100,100,0,179,0,0,0,0,180,0,0
200,62,0,0,0,0,290,62,62,62,0,289,0,0,0,0,290,0,0
202,10000,0,0,0,nan,1,nan,nan,nan,nan,0,0,0,0,nan,1,0,0
0,1000,0,0,0,0,19,1000,1000,1000,0,18,0,0,0,0,19,0,0
100,100,0,0,0,0,190,100,100,100,0,189,0,0,0,0,190,0,0
200,62,0,0,0,0,306,62,62,62,0,305,0,0,0,0,306,0,0
202,10000,0,0,0,nan,1,nan,nan,nan,nan,0,0,0,0,nan,1,0,0
0,1000,0,0,0,0,20,1000,1000,1000,0,19,0,0,0,0,20,0,0
100,100,0,0,0,0,200,100,100,100,0,199,0,0,0,0,200,0,0
200,62,0,0,0,0,322,62,62,62,0,321,0,0,0,0,322,0,0
202,10000,0,0,0,0,2,10000,10000,10000,nan,1,0,0,0,0,2,0,0
0,1000,0,0,0,0,21,1000,1000,1000,0,20,0,0,0,0,21,0,0
100,100,0,0,0,0,210,100,100,100,0,209,0,0,0,0,210,0,0
200,62,0,0,0,0,338,62,62,62,0,337,0,0,0,0,338,0,0
202,10000,0,0,0,0,2,10000,10000,10000,nan,1,0,0,0,0,2,0,0
0,1000,0,0,0,0,22,1000,1000,1000,0,21,0,0,0,0,22,0,0
100,100,0,0,0,0,220,100,100,100,0,219,0,0,0,0,220,0,0
200,62,0,0,0,0,354,62,62,62,0,353,0,0,0,0,354,0,0
