timestamp,n,e,d,vn,ve,vd,qx,qy,qz,qw,bx,by,bz
2047540,0,0,-110.131,-0.0151348,-0.137217,-0.758777,0.262742,-0.704247,-0.233208,0.616941,-0.00128172,0.00124251,-0.000113518
2067548,-0.000302697,-0.00274434,-110.881,-0.0462487,-0.272572,-0.446614,0.275701,-0.736679,-0.213257,0.579495,-0.00141496,0.00137293,-0.000123807
2087548,-0.00122767,-0.00819578,-110.884,-0.0916887,-0.40761,-0.107523,0.288028,-0.767348,-0.192479,0.539601,-0.00253129,0.00247375,-0.000208796
2107548,-0.00306144,-0.016348,-110.885,-0.149332,-0.542202,0.227196,0.299262,-0.79547,-0.170541,0.498583,-0.0027679,0.00270292,-0.000229856
2127548,-0.00604809,-0.027192,-110.885,-0.221632,-0.676495,0.554951,0.309231,-0.820408,-0.148811,0.457342,-0.00371112,0.0036165,-0.000313237
2147548,-0.0104807,-0.0407219,-110.884,-0.306498,-0.810455,0.873711,0.31785,-0.842105,-0.127807,0.416528,-0.00400258,0.00390045,-0.000338034
2167548,-0.0166107,-0.056931,-110.881,-0.402289,-0.944862,1.18207,0.325139,-0.860764,-0.108022,0.376432,-0.0047591,0.0046582,-0.000401713
2187548,-0.0246565,-0.0758283,-110.883,-0.50663,-1.08001,1.48084,0.331121,-0.875985,-0.0897894,0.339038,-0.00505802,0.00495541,-0.000424877
2207552,-0.0347891,-0.0974285,-110.884,-0.618903,-1.21365,1.76877,0.336181,-0.888392,-0.0724786,0.304119,-0.00564395,0.00553505,-0.00047547
2227552,-0.0471671,-0.121702,-110.884,-0.739841,-1.34698,2.04723,0.340393,-0.898395,-0.0562542,0.271762,-0.00593074,0.00581455,-0.000500292
2247548,-0.0619639,-0.148641,-110.884,-0.866976,-1.47868,2.31762,0.344028,-0.90611,-0.0409306,0.242764,-0.00639294,0.00624589,-0.000539436
2267548,-0.0793035,-0.178215,-110.884,-0.999824,-1.61243,2.57617,0.346154,-0.912539,-0.0283764,0.215973,-0.00663783,0.00649492,-0.000559513
2287548,-0.0992999,-0.210463,-110.884,-1.13657,-1.74592,2.82451,0.347993,-0.917468,-0.0166655,0.192032,-0.00697612,0.00683327,-0.000592144
2307548,-0.122031,-0.245382,-110.884,-1.27605,-1.88061,3.06258,0.349008,-0.921467,-0.00683992,0.170426,-0.00717914,0.00704463,-0.000609704
2327548,-0.147552,-0.282994,-110.885,-1.41596,-2.01566,3.29314,0.350415,-0.924183,0.00272604,0.151945,-0.0074357,0.00728802,-0.000630839
2347548,-0.175872,-0.323307,-110.881,-1.55697,-2.15223,3.51707,0.351048,-0.926503,0.0106941,0.135067,-0.00760226,0.00745822,-0.00064614
2367552,-0.207011,-0.366352,-110.883,-1.69891,-2.288,3.73212,0.351752,-0.92816,0.0181005,0.120256,-0.00779353,0.0076483,-0.000664853
2387548,-0.240989,-0.412112,-110.881,-1.84224,-2.42407,3.94139,0.35253,-0.92932,0.0250587,0.107046,-0.00793505,0.00778269,-0.000677118
2407548,-0.277834,-0.460593,-110.886,-1.98756,-2.55975,4.14054,0.352932,-0.930167,0.0304836,0.0964328,-0.00806773,0.00791369,-0.000690391
2427548,-0.317585,-0.511788,-110.886,-2.13214,-2.6958,4.33625,0.353284,-0.930789,0.0354202,0.0869921,-0.00816857,0.00801201,-0.000699693
2447548,-0.360228,-0.565704,-110.883,-2.27897,-2.83084,4.52977,0.353198,-0.931481,0.0399466,0.0774455,-0.00827816,0.00813001,-0.000714912
2467548,-0.405807,-0.622321,-110.886,-2.42251,-2.96388,4.7171,0.353027,-0.932022,0.0439577,0.0691073,-0.00836259,0.00822066,-0.000724867
2487548,-0.454257,-0.681598,-110.886,-2.56432,-3.10342,4.8992,0.352614,-0.932517,0.0471127,0.0621035,-0.008436,0.00830924,-0.000739216
2507552,-0.505544,-0.743667,-110.882,-2.70973,-3.24179,5.06866,0.351879,-0.933067,0.0492344,0.056057,-0.00848504,0.0083822,-0.000751045
2527552,-0.559738,-0.808503,-110.884,-2.85576,-3.37928,5.22512,0.352389,-0.932992,0.052449,0.0509624,-0.00855064,0.00843888,-0.000753854
2547552,-0.616854,-0.876088,-110.883,-3.00455,-3.51595,5.38405,0.352804,-0.932933,0.0556687,0.0454553,-0.00861241,0.00849449,-0.000758129
2567552,-0.676945,-0.946407,-110.885,-3.15176,-3.65018,5.54561,0.352451,-0.933166,0.0571653,0.0413788,-0.00864504,0.00854244,-0.000768666
2587552,-0.73998,-1.01941,-110.883,-3.30107,-3.78413,5.70645,0.352055,-0.933389,0.058845,0.0371449,-0.00867981,0.00859005,-0.000776729
2607548,-0.806001,-1.09509,-110.884,-3.44826,-3.92084,5.86228,0.351656,-0.93357,0.0602318,0.0340251,-0.0087055,0.00862913,-0.000785617
2627552,-0.874966,-1.17351,-110.882,-3.59553,-4.05803,6.00937,0.351509,-0.933614,0.0617963,0.031444,-0.00873052,0.00865995,-0.000790343
2647552,-0.946877,-1.25467,-110.881,-3.74305,-4.19605,6.14404,0.351365,-0.933645,0.0633629,0.028878,-0.00875688,0.00869004,-0.000794845
2667552,-1.02174,-1.33859,-110.883,-3.88704,-4.33525,6.27502,0.351237,-0.933672,0.0647176,0.0264653,-0.0087782,0.00871518,-0.000798544
2687552,-1.09948,-1.4253,-110.882,-4.02822,-4.47611,6.41255,0.351668,-0.933457,0.0659689,0.0252312,-0.00879368,0.00872342,-0.000796764
2707556,-1.18004,-1.51482,-110.885,-4.17612,-4.61338,6.54564,0.351138,-0.933697,0.0662539,0.022864,-0.00879941,0.00875529,-0.000808034
2727552,-1.26357,-1.60709,-110.885,-4.33489,-4.7347,6.66871,0.351221,-0.933623,0.0672713,0.0215834,-0.00881317,0.00876861,-0.000809274
2747552,-1.35026,-1.70178,-110.882,-4.48835,-4.86578,6.79009,0.350652,-0.933827,0.0677108,0.0206395,-0.00881475,0.00877745,-0.000812488
2767552,-1.44003,-1.7991,-110.881,-4.62711,-5.0104,6.91852,0.350626,-0.933765,0.0689578,0.0197118,-0.00882811,0.00878288,-0.000810133
2787552,-1.53257,-1.8993,-110.884,-4.76492,-5.15412,7.03694,0.350832,-0.933635,0.0695962,0.019992,-0.00882715,0.00877891,-0.000808738
2807552,-1.62787,-2.00239,-110.883,-4.91394,-5.29018,7.1428,0.350765,-0.933654,0.0698609,0.0193145,-0.00882461,0.00878994,-0.000814904
2827552,-1.72615,-2.10819,-110.881,-5.0667,-5.42266,7.2433,0.350642,-0.933697,0.0700626,0.0187321,-0.00882097,0.00879628,-0.000818876
2847552,-1.82748,-2.21664,-110.883,-5.21302,-5.55937,7.34697,0.350664,-0.933666,0.0704727,0.0183244,-0.00881912,0.00879524,-0.000819057
2867552,-1.93174,-2.32783,-110.882,-5.35616,-5.70046,7.45853,0.350651,-0.93367,0.0705848,0.0179511,-0.00881386,0.00879696,-0.00082158
2887552,-2.03887,-2.44184,-110.884,-5.50591,-5.83299,7.5599,0.351025,-0.933477,0.0713388,0.0177152,-0.00881714,0.00879536,-0.00081964
2907552,-2.14899,-2.5585,-110.884,-5.66144,-5.96276,7.659,0.350837,-0.933537,0.0716326,0.0170728,-0.00881553,0.0088028,-0.000823521
2927552,-2.26221,-2.67775,-110.882,-5.80929,-6.09784,7.76156,0.35039,-0.933718,0.0714084,0.0172687,-0.0088021,0.00880237,-0.000828157
2947556,-2.3784,-2.79971,-110.883,-5.95579,-6.23313,7.85693,0.349872,-0.933937,0.0710145,0.0175791,-0.00878512,0.00880309,-0.000834288
2967552,-2.49752,-2.92437,-110.882,-6.10337,-6.36896,7.94941,0.349974,-0.93384,0.0715309,0.0185679,-0.00877821,0.00879221,-0.000831669
2987552,-2.61958,-3.05175,-110.886,-6.2513,-6.5051,8.02653,0.349875,-0.933828,0.0722301,0.0183138,-0.00878026,0.00879701,-0.000833141
3007552,-2.74461,-3.18186,-110.882,-6.39626,-6.64341,8.10388,0.349837,-0.933818,0.0723172,0.0191739,-0.00876771,0.00878638,-0.000832594
3027552,-2.87253,-3.31472,-110.882,-6.54227,-6.78185,8.1767,0.349854,-0.933789,0.0727108,0.0187891,-0.00876538,0.00878661,-0.0008335
3047564,-3.00338,-3.45036,-110.886,-6.69185,-6.91653,8.25331,0.349679,-0.933877,0.0724724,0.0186201,-0.0087531,0.00878511,-0.000837111
3067552,-3.13722,-3.58869,-110.883,-6.84383,-7.04788,8.34029,0.349469,-0.93393,0.0731771,0.0170997,-0.00876165,0.00879925,-0.000840623
3087556,-3.27409,-3.72965,-110.884,-6.98955,-7.18582,8.41927,0.34893,-0.934151,0.0731394,0.0161233,-0.00875597,0.00881232,-0.000848769
3107552,-3.41388,-3.87337,-110.883,-7.13337,-7.32635,8.48566,0.348425,-0.934382,0.0727654,0.0153414,-0.00874528,0.00882465,-0.000858182
3127560,-3.55655,-4.01989,-110.885,-7.28072,-7.46447,8.54012,0.348252,-0.934482,0.0723271,0.0152754,-0.0087294,0.00882405,-0.000863637
3147556,-3.70217,-4.16918,-110.882,-7.43478,-7.59802,8.60419,0.347874,-0.934682,0.0717367,0.0143764,-0.00871559,0.00883277,-0.000872532
3167552,-3.85086,-4.32114,-110.882,-7.58656,-7.72862,8.67453,0.347464,-0.934864,0.0716358,0.0128997,-0.00871224,0.00884637,-0.000880082
3187560,-4.00259,-4.47572,-110.881,-7.73714,-7.8617,8.74717,0.34787,-0.934612,0.0729202,0.0130319,-0.00872046,0.00883491,-0.00087185
3207556,-4.15734,-4.63295,-110.884,-7.88695,-7.99504,8.81293,0.347522,-0.934744,0.0727548,0.0137593,-0.00870461,0.00882664,-0.000873773
3227556,-4.31507,-4.79285,-110.885,-8.03226,-8.13205,8.87501,0.347344,-0.934798,0.0725912,0.0153373,-0.00868562,0.00880969,-0.000872699
3247556,-4.47572,-4.95549,-110.886,-8.17368,-8.27406,8.93371,0.347695,-0.934581,0.0734278,0.0165633,-0.00868262,0.00879439,-0.000866671
3267556,-4.63919,-5.12097,-110.885,-8.32896,-8.40545,8.97655,0.347785,-0.934508,0.0738153,0.0171094,-0.00867642,0.00878835,-0.000866067
3287556,-4.80577,-5.28908,-110.884,-8.47967,-8.54019,9.02946,0.347555,-0.934566,0.0742583,0.016632,-0.00867566,0.00879283,-0.00086842
3307552,-4.97537,-5.45989,-110.881,-8.62197,-8.68001,9.09445,0.347381,-0.934602,0.0746892,0.0163132,-0.00867389,0.00879784,-0.000871367
3327556,-5.14781,-5.63349,-110.883,-8.76719,-8.81977,9.14181,0.34727,-0.934629,0.0748981,0.0161722,-0.00866837,0.00880498,-0.000876656
3347556,-5.32315,-5.80988,-110.883,-8.91808,-8.9532,9.17754,0.347159,-0.934691,0.0745472,0.016606,-0.00865269,0.00880355,-0.00088153
3367560,-5.50151,-5.98894,-110.883,-9.06803,-9.08696,9.21841,0.346866,-0.934827,0.0743292,0.0160611,-0.00864294,0.00881221,-0.000889021
3387556,-5.68287,-6.17068,-110.882,-9.21856,-9.22085,9.26361,0.34657,-0.934949,0.0742696,0.0156122,-0.00863458,0.00881758,-0.000894481
3407560,-5.86724,-6.3551,-110.884,-9.36558,-9.35882,9.30677,0.346663,-0.934869,0.0748119,0.0157644,-0.00863219,0.00881323,-0.000893304
3427556,-6.05455,-6.54228,-110.882,-9.51377,-9.49412,9.34567,0.346832,-0.934768,0.0752681,0.0158754,-0.00862899,0.00880937,-0.000892642
3447556,-6.24483,-6.73216,-110.883,-9.66183,-9.63251,9.38353,0.347111,-0.934636,0.0754795,0.0165272,-0.00862085,0.00879896,-0.000890648
3467556,-6.43807,-6.92481,-110.883,-9.80683,-9.77186,9.41475,0.347016,-0.934694,0.0752425,0.0162923,-0.00861155,0.00880053,-0.000894668
3487556,-6.6342,-7.12025,-110.882,-9.9443,-9.91645,9.45692,0.347505,-0.934481,0.0755067,0.0168408,-0.00860525,0.00878778,-0.000890926
3507556,-6.83309,-7.31858,-110.881,-10.0913,-10.0615,9.48596,0.348146,-0.934245,0.0754941,0.0167691,-0.00860054,0.00878535,-0.000891453
3527560,-7.03492,-7.5198,-110.885,-10.2367,-10.201,9.51098,0.348603,-0.934142,0.0747489,0.016334,-0.00858806,0.00878785,-0.000897011
3547556,-7.23965,-7.72382,-110.882,-10.3836,-10.3414,9.54396,0.349107,-0.934032,0.0738401,0.0160227,-0.00857801,0.00878748,-0.000900391
3567556,-7.44732,-7.93065,-110.884,-10.5318,-10.4803,9.57028,0.349566,-0.93398,0.0723166,0.0159716,-0.00856429,0.00878441,-0.000903832
3587556,-7.65796,-8.14026,-110.881,-10.6766,-10.6181,9.59798,0.350381,-0.933765,0.0711249,0.0160309,-0.00855952,0.00877584,-0.000901552
3607556,-7.87149,-8.35262,-110.882,-10.8208,-10.7577,9.62702,0.351068,-0.933611,0.0699185,0.0152943,-0.00855913,0.00877955,-0.000903383
3627556,-8.08791,-8.56777,-110.883,-10.9693,-10.8986,9.65813,0.352432,-0.933137,0.0692856,0.0156995,-0.00855681,0.00876392,-0.000896999
3647556,-8.30729,-8.78575,-110.883,-11.1155,-11.0347,9.68964,0.353873,-0.932624,0.0690656,0.0147355,-0.0085639,0.00876475,-0.00089486
3667556,-8.5296,-9.00644,-110.882,-11.2623,-11.1702,9.71942,0.355571,-0.931968,0.0693003,0.0142256,-0.00857088,0.00875782,-0.00088918
3687556,-8.75485,-9.22985,-110.881,-11.4126,-11.305,9.74879,0.356969,-0.931458,0.0691021,0.0135427,-0.00857113,0.00875624,-0.000888359
3707556,-8.9831,-9.45594,-110.885,-11.5644,-11.4375,9.76857,0.358086,-0.931103,0.0683643,0.0121856,-0.00857215,0.00876399,-0.0008916
3727556,-9.21439,-9.6847,-110.883,-11.7175,-11.5671,9.79426,0.359083,-0.930826,0.0669972,0.0116016,-0.00856747,0.008764,-0.000893287
3747556,-9.44874,-9.91604,-110.886,-11.8678,-11.6957,9.82016,0.360437,-0.930298,0.0670098,0.0118782,-0.00857003,0.00874811,-0.000884997
3767556,-9.68609,-10.15,-110.883,-12.0209,-11.8267,9.84873,0.361524,-0.929828,0.0676794,0.0117867,-0.00856934,0.00873793,-0.000880471
3787560,-9.92651,-10.3865,-110.885,-12.1723,-11.9544,9.87248,0.362195,-0.929529,0.0682927,0.0112927,-0.00856587,0.00873544,-0.00088054
3807556,-10.17,-10.6256,-110.88,-12.3221,-12.0805,9.90371,0.362646,-0.929318,0.068803,0.0109964,-0.00856094,0.00873292,-0.000881103
3827556,-10.4164,-10.8672,-110.881,-12.4832,-12.2013,9.93019,0.362881,-0.929155,0.0698138,0.0106977,-0.00855821,0.00873159,-0.000881446
3847556,-10.6661,-11.1112,-110.882,-12.6464,-12.3121,9.95586,0.362387,-0.929256,0.0710557,0.0105371,-0.00855506,0.00873127,-0.000882418
3867556,-10.919,-11.3575,-110.882,-12.8137,-12.422,9.9872,0.361012,-0.929718,0.0718806,0.0113179,-0.00853738,0.00872497,-0.000885715
3887564,-11.1753,-11.6059,-110.881,-12.9763,-12.5329,10.0257,0.359005,-0.930275,0.0746844,0.0112457,-0.00852908,0.00872968,-0.000890952
3907560,-11.4348,-11.8565,-110.884,-13.1378,-12.6491,10.0554,0.356567,-0.930864,0.0788422,0.0116507,-0.00851123,0.00873058,-0.000897718
3927560,-11.6975,-12.1095,-110.882,-13.2949,-12.7668,10.0855,0.353905,-0.931437,0.0838002,0.0123916,-0.00849606,0.0087284,-0.000901956
3947556,-11.9634,-12.3649,-110.884,-13.4532,-12.8928,10.1069,0.350046,-0.932588,0.0870329,0.0131105,-0.00847143,0.00873865,-0.000915693
3967556,-12.2325,-12.6227,-110.881,-13.6126,-13.0492,10.1318,0.346072,-0.933948,0.088154,0.0143083,-0.0084402,0.00874869,-0.000931738
3987560,-12.5048,-12.8837,-110.882,-13.726,-13.2398,10.1333,0.34315,-0.934871,0.0895332,0.0157215,-0.00841269,0.00875202,-0.000943068
4007560,-12.7793,-13.1485,-110.883,-13.8201,-13.4153,10.1149,0.341942,-0.935288,0.0898149,0.0156478,-0.00837969,0.00876341,-0.000960361
4027560,-13.0557,-13.4168,-110.884,-13.9516,-13.5758,10.0887,0.342538,-0.935229,0.088285,0.0148683,-0.00835075,0.00877355,-0.000975578
4047560,-13.3347,-13.6883,-110.882,-14.1068,-13.7196,10.0802,0.343441,-0.935187,0.0851192,0.0151104,-0.00833322,0.00877321,-0.000981641
4067560,-13.6168,-13.9627,-110.884,-14.2518,-13.8523,10.0748,0.34416,-0.9352,0.081763,0.0164263,-0.00830917,0.00875621,-0.000981932
4087560,-13.9019,-14.2398,-110.881,-14.4017,-13.996,10.0817,0.344297,-0.935398,0.0790642,0.0154292,-0.00829497,0.0087651,-0.000991168
4107564,-14.1899,-14.5197,-110.883,-14.5382,-14.1486,10.0752,0.345074,-0.935269,0.077371,0.0144686,-0.00828525,0.00876863,-0.000996309
4127560,-14.4807,-14.8027,-110.886,-14.6799,-14.3123,10.062,0.347136,-0.934663,0.0756678,0.0132591,-0.00828626,0.0087638,-0.000993694
4147560,-14.7743,-15.0889,-110.883,-14.8294,-14.4831,10.0494,0.350467,-0.933725,0.0721149,0.0113787,-0.00828011,0.00875403,-0.000991288
4167560,-15.0709,-15.3786,-110.881,-14.9796,-14.6618,10.0425,0.356356,-0.931904,0.0671964,0.00708883,-0.00827786,0.00874185,-0.000986507
4187560,-15.3705,-15.6718,-110.884,-15.1611,-14.8129,10.0531,0.363722,-0.92934,0.0634719,0.00222639,-0.00827334,0.008722,-0.000978774
4207560,-15.6737,-15.9681,-110.882,-15.2751,-14.9295,10.0718,0.372462,-0.926004,0.0614326,-0.00376056,-0.00827251,0.00868973,-0.000963511
4227560,-15.9792,-16.2666,-110.884,-15.3867,-15.0472,10.0989,0.382956,-0.921512,0.0632096,-0.0128335,-0.00826917,0.00866127,-0.000950718
4247560,-16.2869,-16.5676,-110.882,-15.5195,-15.1567,10.1028,0.39503,-0.9161,0.0652523,-0.0213082,-0.00825339,0.00861311,-0.000930684
4267564,-16.5973,-16.8707,-110.883,-15.6512,-15.2571,10.1105,0.40593,-0.911076,0.0652225,-0.0301247,-0.0082343,0.00857412,-0.000917627
4287560,-16.9103,-17.1759,-110.885,-15.783,-15.3602,10.1246,0.416575,-0.905962,0.0654529,-0.0375927,-0.00820826,0.00851842,-0.000895165
4307560,-17.226,-17.4831,-110.881,-15.9283,-15.4636,10.1688,0.425584,-0.901388,0.0668374,-0.043718,-0.00817125,0.00845586,-0.000875019
4327560,-17.5446,-17.7923,-110.881,-16.2073,-15.6318,10.1213,0.43234,-0.898214,0.065658,-0.0445289,-0.00814823,0.00837881,-0.000836021
4347560,-17.8687,-18.105,-110.883,-16.3558,-15.7693,10.198,0.433353,-0.897735,0.0660569,-0.0437415,-0.00812123,0.00833169,-0.000819871
4367560,-18.1958,-18.4204,-110.882,-16.497,-15.8973,10.2424,0.432577,-0.898147,0.067688,-0.0403359,-0.00810163,0.00830421,-0.000810741
4387560,-18.5258,-18.7383,-110.881,-16.6511,-16.0221,10.2527,0.429595,-0.899695,0.0690456,-0.0350746,-0.00807048,0.00826967,-0.000803224
4407560,-18.8588,-19.0588,-110.885,-16.8212,-16.1553,10.2908,0.424287,-0.902185,0.0715381,-0.030414,-0.00804933,0.00824335,-0.000795601
4427560,-19.1952,-19.3819,-110.883,-16.9895,-16.2731,10.2655,0.419173,-0.90459,0.0731987,-0.0255406,-0.00803116,0.00822766,-0.000793709
4447564,-19.535,-19.7073,-110.881,-17.1254,-16.4053,10.3028,0.415159,-0.906451,0.0744132,-0.021272,-0.00800146,0.00820492,-0.000791562
4467560,-19.8775,-20.0354,-110.884,-17.2649,-16.5496,10.3155,0.410808,-0.908519,0.0742603,-0.0177499,-0.00796796,0.00819044,-0.000796204
4487568,-20.2228,-20.3664,-110.881,-17.409,-16.6923,10.3297,0.406984,-0.9101,0.076387,-0.0157227,-0.00795665,0.00817759,-0.000793105
