timestamp,threadId,minimumStack
3290,1,14796
3316,3,15028
3337,4,16204
2378,5,16256
2470,6,15676
3318,7,16180
2312,8,16180
3339,10,1436
2343,16,15408
4329,1,14796
4316,3,15028
4338,4,16204
3356,5,16256
3448,6,15676
3996,7,16180
4312,8,16180
4339,10,1436
3343,16,15324
5332,1,14796
5317,3,15028
5338,4,16204
5322,5,16256
4445,6,15636
5063,7,16180
4312,8,16180
5339,10,1436
4343,16,15324
6324,1,14796
6316,3,15028
6338,4,16204
6299,5,16256
5424,6,15636
6130,7,16180
6312,8,16180
6339,10,1436
5343,16,15324
7287,1,14796
7270,3,15028
7338,4,16204
7276,5,16256
6394,6,15636
7197,7,16180
6312,8,16180
7339,10,1436
6343,16,15324
8324,1,14796
8269,3,15028
8338,4,16204
8254,5,16256
8332,6,15636
8220,7,16180
8312,8,16180
8339,10,1436
7343,16,15324
9329,1,14796
9269,3,15028
9338,4,16204
9230,5,16256
9309,6,15636
8962,7,16180
8312,8,16180
9339,10,1436
8343,16,15324
10335,1,14796
10268,3,15028
10338,4,16204
10208,5,16256
10282,6,15636
10029,7,16180
10312,8,16180
10339,10,1436
9343,16,15324
11310,1,14796
11267,3,15028
11338,4,16204
11184,5,16256
11262,6,15636
11102,7,16180
10312,8,16180
11339,10,1436
10343,16,15316
12293,1,14796
12266,3,15028
12338,4,16204
12162,5,16256
12238,6,15636
12160,7,16180
12312,8,16180
12339,10,1436
11343,16,15316
13331,1,14796
13268,3,15028
13338,4,16204
13139,5,16256
13217,6,15636
13209,7,16180
12312,8,16180
13339,10,1436
12343,16,15316
14337,1,14796
14267,3,15028
14338,4,16204
14116,5,16256
14188,6,15636
14295,7,16180
14312,8,16180
14339,10,1436
13343,16,15316
15327,1,14796
15268,3,15028
15338,4,16204
15092,5,16256
15170,6,15636
15033,7,16180
14312,8,16180
15339,10,1436
14343,16,15316
16316,1,14796
16268,3,15028
16338,4,16204
16069,5,16256
16142,6,15636
16080,7,16180
16312,8,16180
16339,10,1436
15343,16,15316
17326,1,14796
17266,3,15028
17338,4,16204
17048,5,16256
17123,6,15636
17115,7,16180
16312,8,16180
17339,10,1436
16343,16,15316
18299,1,14796
18267,3,15028
18338,4,16204
18024,5,16256
18100,6,15636
18194,7,16180
18312,8,16180
18339,10,1436
17343,16,15316
19324,1,14796
19269,3,15028
19338,4,16204
19000,5,16256
19078,6,15636
19260,7,16180
18312,8,16180
19339,10,1436
18343,16,15316
20327,1,14796
20268,3,15028
20338,4,16204
19978,5,16256
20059,6,15636
19974,7,16180
20312,8,16180
20339,10,1436
19343,16,15316
21288,1,14796
21267,3,15028
21338,4,16204
20956,5,16256
21035,6,15636
21333,7,16180
20312,8,16180
21339,10,1436
20343,16,15316
22337,1,14796
22266,3,15028
22338,4,16204
21932,5,16256
22009,6,15636
22103,7,16180
22312,8,16180
22339,10,1436
21343,16,15316
23277,1,14796
23268,3,15028
23338,4,16204
22908,5,16256
22985,6,15636
23185,7,16180
22312,8,16180
23339,10,1436
22343,16,15316
24329,1,14796
24265,3,15028
24338,4,16204
23886,5,16256
23966,6,15636
24275,7,16180
24312,8,16180
24339,10,1436
23343,16,15300
25319,1,14796
25269,3,15028
25338,4,16204
24864,5,16256
24947,6,15636
25319,7,16180
24312,8,16180
25339,10,1436
24343,16,15300
26325,1,14796
26269,3,15028
26338,4,16204
25840,5,16256
25920,6,15636
26001,7,16180
26312,8,16180
26339,10,1436
25343,16,15300
27301,1,14796
27272,3,15028
27338,4,16204
26818,5,16256
26899,6,15636
27087,7,16180
26312,8,16180
27339,10,1436
26343,16,15300
28277,1,14796
28270,3,15028
28339,4,16204
27794,5,16256
27872,6,15636
28177,7,16180
28312,8,16180
28339,10,1436
27343,16,15300
29328,1,14796
29270,3,15028
29339,4,16204
28770,5,16256
28854,6,15636
29224,7,16180
28312,8,16180
29339,10,1436
28343,16,15300
30318,1,14796
30271,3,15028
30289,4,16204
29748,5,16256
29829,6,15636
30259,7,16180
30312,8,16180
30339,10,1436
29343,16,15300
31324,1,14796
31269,3,15028
31289,4,16204
30726,5,16256
30807,6,15636
30994,7,16180
30312,8,16180
31339,10,1436
30343,16,15300
32306,1,14796
32270,3,15028
32289,4,16204
31702,5,16256
31784,6,15636
32070,7,16180
32312,8,16180
32339,10,1436
31343,16,15300
33330,1,14796
33268,3,15028
33339,4,16204
32679,5,16256
32767,6,15636
33157,7,16180
32312,8,16180
33339,10,1436
32343,16,15300
34334,1,14796
34269,3,15028
34339,4,16204
33659,5,16256
33740,6,15636
34186,7,16180
34312,8,16180
34339,10,1436
33343,16,15300
34823,0,14844
35327,1,14796
35268,3,15028
35290,4,16204
34634,5,16256
34719,6,15636
35275,7,16180
34312,8,16180
35339,10,1436
34343,16,15300
34823,0,14844
36285,1,14796
36269,3,15028
36290,4,16204
35610,5,16256
35695,6,15636
35977,7,16180
36312,8,16180
36339,10,1436
35343,16,15300
34823,0,14844
37334,1,14796
37267,3,15028
37291,4,16204
36588,5,16256
36672,6,15636
37098,7,16180
36312,8,16180
37339,10,1436
36343,16,15300
34823,0,14844
38327,1,14796
38268,3,15028
38291,4,16204
37564,5,16256
37648,6,15636
38133,7,16180
38312,8,16180
38339,10,1436
37343,16,15300
34823,0,14844
39334,1,14796
39269,3,15028
39292,4,16204
38540,5,16256
38623,6,15636
39215,7,16180
38312,8,16180
39339,10,1436
38343,16,15300
34823,0,14844
40320,1,14796
40268,3,15028
40292,4,16204
39519,5,16256
39603,6,15636
40306,7,16180
40312,8,16180
40339,10,1436
39343,16,15300
34823,0,14844
41326,1,14796
41268,3,15028
41292,4,16204
40496,5,16256
40578,6,15636
41000,7,16180
40312,8,16180
41339,10,1436
40343,16,15300
34823,0,14844
42333,1,14796
42269,3,15028
42292,4,16204
41472,5,16256
41555,6,15636
42153,7,16180
42312,8,16180
42339,10,1436
41343,16,15300
34823,0,14844
43305,1,14796
43268,3,15028
43292,4,16204
42450,5,16256
42534,6,15636
43213,7,16180
42312,8,16180
43339,10,1436
42343,16,15300
34823,0,14844
44325,1,14796
44269,3,15028
44292,4,16204
43428,5,16256
43509,6,15636
43929,7,16180
44312,8,16180
44339,10,1436
43343,16,15300
34823,0,14844
45331,1,14796
45268,3,15028
45292,4,16204
44404,5,16256
44485,6,15636
45033,7,16180
44312,8,16180
45339,10,1436
