WingAlgorithmTimestamp,servo1Angle,servo2Angle,targetAngle, velocityAngle,targetX,targetY
197757328,0,120,0.765161,1.06967,25.4332,24.4241
197857336,0,120,0.760581,0.964254,25.431,24.1991
197957332,0,120,0.765812,0.953345,25.0101,24.0491
198057328,0,120,0.761233,1.02552,25.0084,23.828
198157328,0,120,0.75809,1.00392,25.0081,23.6782
198257328,0,120,0.756504,1.01097,25.0081,23.6032
198357328,0,120,0.761822,0.965561,24.5867,23.4539
198457336,0,120,0.758708,0.911287,24.5811,23.3027
198557332,0,120,0.757099,0.949371,24.5826,23.2292
198657332,0,120,0.753901,0.92214,24.5815,23.0798
198757332,0,120,0.750668,0.894453,24.58,22.9293
198857332,0,120,0.750643,0.905959,24.5804,22.9286
198957332,0,120,0.749038,0.980735,24.5835,22.8578
199057332,0,120,0.749026,1.00545,24.5842,22.8578
199157332,0,120,0.747409,0.949526,24.5827,22.7824
199257336,0,120,0.745777,0.946643,24.5826,22.7079
199357336,0,120,0.744142,0.989962,24.5838,22.6347
199457336,0,120,0.744131,1.08408,24.5852,22.6354
199557344,0,120,0.7425,1.02113,24.5844,22.5608
199657336,0,120,0.751087,1.01223,24.1638,22.56
199757340,0,120,0.751159,1.04012,24.1608,22.5604
199857340,0,120,0.749521,0.971414,24.1595,22.4853
199957340,0,120,0.749511,1.10364,24.1615,22.4867
200057348,0,120,0.749508,0.950948,24.159,22.4842
200157344,0,120,0.751143,0.944923,24.1586,22.5576
200257340,0,120,0.751157,0.996191,24.1597,22.5594
200357340,0,120,0.751158,0.973186,24.1596,22.5593
200457344,0,120,0.759923,1.10909,23.741,22.5612
200557344,0,120,0.759994,1.0308,23.7369,22.5605
200657344,0,120,0.759996,1.05871,23.7371,22.5608
200757344,0,120,0.759994,1.05228,23.737,22.5607
200857344,0,120,0.758358,1.08381,23.7377,22.4874
200957344,0,120,0.758342,0.945706,23.7346,22.4838
201057344,0,120,0.75834,0.924185,23.7338,22.483
201157344,0,120,0.765626,0.977549,23.315,22.4108
201257348,0,120,0.765687,1.01293,23.3124,22.411
201357348,0,120,0.76569,1.69125,23.3158,22.4144
201457356,0,120,0.764039,1.07572,23.3135,22.3383
201557348,0,120,0.76237,1.06091,23.3133,22.2636
201657348,0,120,0.760695,0.970895,23.3115,22.1873
201757348,0,120,0.759018,1.04416,23.3129,22.1143
201857352,0,120,0.759006,1.16063,23.3143,22.115
201957352,0,120,0.757337,1.41961,23.3153,22.0422
202057360,0,120,0.755647,1.27317,23.3148,21.9672
202157352,0,120,0.75395,1.06404,23.3135,21.8914
202257352,0,120,0.761336,1.04955,22.8925,21.8165
202357352,0,120,0.759702,1.12227,22.8898,21.7427
202457352,0,120,0.759689,1.01742,22.8886,21.7409
202557356,0,120,0.757987,0.985829,22.8878,21.6662
202657356,0,120,0.757972,0.926786,22.8861,21.6639
202757356,0,120,0.756267,0.933321,22.8863,21.5903
202857356,0,120,0.756255,0.976314,22.8878,21.5911
202957356,0,120,0.765516,1.00068,22.4678,21.5917
203057356,0,120,0.763882,1.32863,22.467,21.5205
203157360,0,120,0.763868,1.08063,22.4656,21.5185
203257360,0,120,0.763868,1.21102,22.4666,21.5194
203357364,0,120,0.763868,1.15698,22.4663,21.5191
203457364,0,120,0.763869,1.3138,22.4671,21.5199
203557360,0,120,0.763868,1.02746,22.465,21.5179
203657360,0,120,0.763865,0.9578,22.4631,21.5159
203757364,0,120,0.762146,0.933621,22.4623,21.4413
203857360,0,120,0.762132,0.927114,22.4628,21.4411
203957364,0,120,0.762137,0.990692,22.4654,21.4439
204057364,0,120,0.762138,0.942601,22.4647,21.4432
204157364,0,120,0.763855,0.919515,22.4645,21.5169
204257364,0,120,0.763868,0.837185,22.4617,21.5147
204357368,0,120,0.77503,0.839157,22.0446,21.5921
204457364,0,120,0.77683,0.809403,22.0377,21.6633
204557372,0,120,0.778547,0.805128,22.0394,21.7394
204657368,0,120,0.780257,0.826983,22.0425,21.8171
204757372,0,120,0.780268,0.789081,22.0299,21.805
204857368,0,120,0.783645,0.743049,22.0442,21.9671
204957368,0,120,0.785353,0.753487,22.0421,22.0402
205057368,0,120,0.787041,0.762121,22.0408,22.1133
205157368,0,120,0.787054,0.732187,22.0438,22.117
205257372,0,120,0.788721,0.700538,22.0439,22.1909
205357372,0,120,0.800023,-2.17454,21.6255,22.2675
205457372,69.3121,120,0.801771,-2.27719,21.6235,22.3434
205557372,120,120,0.805077,-2.3349,21.6251,22.4934
205657376,120,120,0.806739,-2.33676,21.6262,22.5695
205757376,120,120,0.808378,-2.35008,21.6318,22.6496
205857376,120,120,0.810022,-2.33977,21.6283,22.7205
205957376,120,120,0.813273,-2.32237,21.6273,22.8679
206057376,120,120,0.813298,-2.3373,21.6279,22.8697
206157376,120,120,0.816511,-2.33763,21.6289,23.0185
206257380,120,120,0.818131,-2.34337,21.6313,23.0959
206357384,120,120,0.829542,-0.535882,21.2012,23.1608
206457376,120,120,0.832808,0.649239,21.1954,23.3069
206557380,120,120,0.826182,-2.34025,21.6242,23.4641
206657380,120,120,0.827688,-2.36092,21.6303,23.5417
206757380,120,120,0.82927,-2.38423,21.625,23.6109
206857380,120,120,0.83084,-2.39713,21.6234,23.6837
206957384,120,120,0.830855,-2.36621,21.6223,23.6831
207057380,120,120,0.84064,0.796046,21.1957,23.677
207157380,120,120,0.840734,0.792275,21.1868,23.6716
207257384,120,120,0.852241,0.791623,20.7626,23.7418
207357384,120,120,0.852329,0.792677,20.7608,23.7441
207457384,120,120,0.85384,0.803365,20.7702,23.8274
207557384,120,120,0.856903,1.80229,20.7732,23.9786
207657384,120,120,0.858455,0.872461,20.7711,24.0515
207757388,120,120,0.858458,-2.6618,20.774,24.0551
207857384,120,120,0.859994,0.840068,20.768,24.1229
207957392,120,120,0.862996,-2.46837,20.7752,24.2784
208057388,120,120,0.867508,-2.49592,20.7752,24.5012
208157388,120,120,0.867562,0.855288,20.7705,24.4983
208257388,120,120,0.869054,0.84519,20.7689,24.5707
208357388,120,120,0.872028,0.824037,20.7664,24.7164
208457396,120,120,0.883583,0.810181,20.3433,24.7889
208557388,120,120,0.885153,0.810577,20.336,24.8595
208657392,120,120,0.885144,0.842952,20.3406,24.8647
208757392,120,120,0.895363,0.84935,19.9194,24.8639
208857392,120,120,0.894018,0.832121,19.9107,24.7847
208957392,120,120,0.894029,0.812591,19.906,24.7794
209057392,120,120,0.895437,0.830773,19.9155,24.8628
209157396,120,120,0.895434,0.866503,19.9186,24.8666
209257392,120,120,0.895436,0.872671,19.918,24.8659
209357396,120,120,0.896888,0.854999,19.9165,24.9382
209457396,120,120,0.89544,0.901154,19.9197,24.8682
209557396,120,120,0.905869,0.819158,19.4888,24.8572
209657396,120,120,0.905946,0.828998,19.4869,24.8587
